Date,Opponent,Team_Shots_OT_Behind_Net,Team_Shots_Behind_Net,Team_Goals_Behind_Net,Team_Shots_OT_at_Net,Team_Shots_at_Net,Team_Goals_at_Net,Team_Shots_OT_Left_Close,Team_Shots_Left_Close,Team_Goals_Left_Close,Team_Shots_OT_Center_Close,Team_Shots_Center_Close,Team_Goals_Center_Close,Team_Shots_OT_Right_Close,Team_Shots_Right_Close,Team_Goals_Right_Close,Team_Shots_OT_Left_Far,Team_Shots_Left_Far,Team_Goals_Left_Far,Team_Shots_OT_Center_Far,Team_Shots_Center_Far,Team_Goals_Center_Far,Team_Shots_OT_Right_Far,Team_Shots_Right_Far,Team_Goals_Right_Far,Team_Shots_OT_Not_in_Offensive_Zone,Team_Shots_Not_in_Offensive_Zone,Team_Goals_Not_in_Offensive_Zone
10/7/22,Union Dutchmen,0,0,0,0,0,0,3,3,0,2,3,0,2,2,0,2,4,0,3,6,0,1,1,0,1,1,0
10/2/22,Vermont Catamounts,0,0,0,1,4,0,1,4,0,2,5,0,0,0,0,0,0,0,4,6,1,1,2,0,0,0,0
10/1/22,Vermont Catamounts,0,0,0,1,1,1,1,1,1,3,6,0,2,2,0,0,0,0,0,5,0,1,2,0,0,0,0
3/19/22,Univ. of Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/22,Northeastern Huskies,0,0,0,1,1,0,0,0,0,1,1,0,1,2,0,0,0,0,2,3,0,0,0,0,0,0,0
3/12/22,Boston University Terriers,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
3/5/22,Vermont Catamounts,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0
3/4/22,Vermont Catamounts,0,0,0,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
2/26/22,Northeastern Huskies,0,0,0,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2/25/22,Northeastern Huskies,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,2,2,0,1,1,0,0,0,0
2/19/22,Univ. of Massachusetts,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2/18/22,Univ. of Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2/11/22,Boston College Eagles,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,1,1,0
2/8/22,Merrimack Warriors,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
2/5/22,New Hampshire Wildcats,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2/4/22,Providence Friars,0,0,0,0,0,0,1,1,0,1,2,0,1,2,0,0,0,0,0,0,0,1,1,0,1,1,0
1/30/22,Quinnipiac Bobcats,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1/29/22,Yale Bulldogs,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1/25/22,Merrimack Warriors,0,0,0,1,1,1,0,1,0,1,1,0,2,4,0,1,1,0,0,1,0,0,0,0,0,0,0
1/22/22,New Hampshire Wildcats,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1/21/22,New Hampshire Wildcats,0,0,0,0,0,0,1,2,0,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
1/14/22,Boston University Terriers,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1/11/22,American International College,0,0,0,1,1,0,3,4,0,2,2,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0
1/8/22,Boston College Eagles,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
1/2/22,Harvard Crimson,0,0,0,0,0,0,0,1,0,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
11/27/21,Colgate Raiders,0,0,0,1,1,1,1,1,0,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,0,0
11/21/21,UMass-Lowell River Hawks,0,0,0,1,1,0,0,1,0,0,0,0,1,2,0,0,1,0,0,3,0,1,2,0,0,0,0
11/20/21,UMass-Lowell River Hawks,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11/13/21,Providence Friars,0,0,0,1,1,0,4,4,0,2,5,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0
11/12/21,Boston College Eagles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/6/21,Maine Black Bears,0,0,0,3,4,0,0,1,0,0,1,0,1,1,0,0,0,0,1,5,0,0,0,0,0,0,0
11/5/21,Maine Black Bears,0,0,0,1,1,1,0,1,0,1,2,0,0,0,0,2,2,1,2,3,0,0,0,0,0,0,0
10/30/21,Dartmouth Big Green,0,0,0,4,5,0,0,2,0,3,4,0,2,3,0,2,3,0,1,3,0,0,2,0,0,0,0
10/26/21,Northeastern Huskies,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/16/21,Ohio State Buckeyes,0,0,0,0,0,0,2,2,0,2,3,0,1,1,0,0,0,0,3,7,0,0,0,0,0,0,0
10/15/21,Ohio State Buckeyes,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
