Date,Opponent,Team_Total_UConn_Score,Team_Total_Opponent_Score,Home,Win,Team_Score_On_PP,Team_PP_Faceoffs_won_in_OZ_percent,Team_PP_Faceoffs_won_percent,Team_Shots_OT_Behind_Net,Team_Shots_Behind_Net,Team_Goals_Behind_Net,Team_Shots_OT_at_Net,Team_Shots_at_Net,Team_Goals_at_Net,Team_Shots_OT_Left_Close,Team_Shots_Left_Close,Team_Goals_Left_Close,Team_Shots_OT_Center_Close,Team_Shots_Center_Close,Team_Goals_Center_Close,Team_Shots_OT_Right_Close,Team_Shots_Right_Close,Team_Goals_Right_Close,Team_Shots_OT_Left_Far,Team_Shots_Left_Far,Team_Goals_Left_Far,Team_Shots_OT_Center_Far,Team_Shots_Center_Far,Team_Goals_Center_Far,Team_Shots_OT_Right_Far,Team_Shots_Right_Far,Team_Goals_Right_Far,Team_Shots_OT_Not_in_Offensive_Zone,Team_Shots_Not_in_Offensive_Zone,Team_Goals_Not_in_Offensive_Zone,Team_PP_OZ_possession_percent,Team_PP_NZ_possession_percent,Team_PP_DZ_possession_percent
2022-10-14,Ohio State Buckeyes,0.0,1.0,1,0,0,100.0,75.0,0,0,0,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,48.59,9.04,11.86
2022-10-07,Union Dutchmen,4.0,1.0,1,1,0,16.7,16.7,0,0,0,0,0,0,3,3,0,2,3,0,2,2,0,2,4,0,3,6,0,1,1,0,1,1,0,56.74,6.83,11.39
2022-10-02,Vermont Catamounts,3.0,1.0,0,1,1,83.3,83.3,0,0,0,1,4,0,1,4,0,2,5,0,0,0,0,0,0,0,4,6,1,1,2,0,0,0,0,72.74,3.07,4.33
2022-10-01,Vermont Catamounts,4.0,1.0,0,1,1,62.5,62.5,0,0,0,1,1,1,1,1,1,3,6,0,2,2,0,0,0,0,0,5,0,1,2,0,0,0,0,61.83,7.68,15.35
2022-03-18,Northeastern Huskies,4.0,1.0,0,1,0,80.0,80.0,0,0,0,1,1,0,0,0,0,1,1,0,1,2,0,0,0,0,2,3,0,0,0,0,0,0,0,58.89,7.22,15.0
2022-03-12,Boston University Terriers,3.0,1.0,0,1,0,75.0,66.7,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,51.67,11.25,23.75
2022-03-05,Vermont Catamounts,4.0,0.0,1,1,1,100.0,66.7,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,78.88,6.27,11.22
2022-03-04,Vermont Catamounts,3.0,5.0,1,0,1,16.7,28.6,0,0,0,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,42.91,6.3,14.17
2022-02-26,Northeastern Huskies,2.0,5.0,1,0,1,50.0,57.1,0,0,0,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,50.48,6.01,9.86
2022-02-25,Northeastern Huskies,1.0,3.0,0,0,0,66.7,66.7,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,2,2,0,1,1,0,0,0,0,61.25,6.67,16.25
2022-02-19,Univ. of Massachusetts,4.0,2.0,0,1,1,50.0,40.0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,97.89,21.05,28.42
2022-02-11,Boston College Eagles,6.0,4.0,0,1,0,33.3,60.0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,1,1,0,41.67,13.33,19.17
2022-02-08,Merrimack Warriors,6.0,2.0,0,1,0,100.0,100.0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,52.38,10.88,15.65
2022-02-05,New Hampshire Wildcats,6.0,1.0,0,1,0,100.0,66.7,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,51.67,4.17,20.83
2022-02-04,Providence Friars,2.0,1.0,1,1,0,57.1,57.1,0,0,0,0,0,0,1,1,0,1,2,0,1,2,0,0,0,0,0,0,0,1,1,0,1,1,0,41.92,1.8,8.38
2022-01-22,New Hampshire Wildcats,3.0,2.0,1,1,0,50.0,33.3,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,54.95,8.79,44.51
2022-01-21,New Hampshire Wildcats,1.0,3.0,1,0,0,16.7,28.6,0,0,0,0,0,0,1,2,0,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,42.78,11.11,21.67
